dataset,arch_family,arch_size,num_params,num_voters,init_scheme,aggregate,seed,train_time_s,accuracy,knn_accuracy,gibbs_risk,disagreement
tabular,MLP,m,20867,1,kaiming_normal,mean_logits,0,0.9406,0.771667,0.693333,0.228333,1.0
tabular,MLP,m,20867,1,kaiming_normal,mean_probs,0,0.3069,0.771667,0.693333,0.228333,1.0
tabular,MLP,m,20867,1,kaiming_normal,argmax,0,0.2144,0.771667,0.693333,0.228333,1.0
tabular,MLP,m,62601,3,kaiming_normal,mean_logits,0,0.5144,0.800000,0.693333,0.226111,0.194444
tabular,MLP,m,62601,3,kaiming_normal,mean_probs,0,0.9096,0.796667,0.693333,0.226111,0.194444
tabular,MLP,m,62601,3,kaiming_normal,argmax,0,0.6601,0.798333,0.693333,0.226111,0.194444
tabular,MLP,m,104335,5,kaiming_normal,mean_logits,0,0.9087,0.831667,0.693333,0.221,0.195833
tabular,MLP,m,104335,5,kaiming_normal,mean_probs,0,1.0220,0.831667,0.693333,0.221,0.195833
tabular,MLP,m,104335,5,kaiming_normal,argmax,0,0.9173,0.823333,0.693333,0.221,0.195833
tabular,MLP,m,187803,9,kaiming_normal,mean_logits,0,1.8179,0.828333,0.693333,0.214074,0.187685
tabular,MLP,m,187803,9,kaiming_normal,mean_probs,0,2.1794,0.830000,0.693333,0.214074,0.187685
tabular,MLP,m,187803,9,kaiming_normal,argmax,0,2.4121,0.840000,0.693333,0.214074,0.187685
tabular,MLP,m,313005,15,kaiming_normal,mean_logits,0,3.3994,0.833333,0.693333,0.226111,0.192222
tabular,MLP,m,313005,15,kaiming_normal,mean_probs,0,3.7488,0.831667,0.693333,0.226111,0.192222
tabular,MLP,m,313005,15,kaiming_normal,argmax,0,3.0233,0.816667,0.693333,0.226111,0.192222
tabular,MLP,m,20867,1,kaiming_normal,mean_logits,1,0.1662,0.740000,0.718333,0.26,1.0
tabular,MLP,m,20867,1,kaiming_normal,mean_probs,1,0.1691,0.740000,0.718333,0.26,1.0
tabular,MLP,m,20867,1,kaiming_normal,argmax,1,0.3703,0.740000,0.718333,0.26,1.0
tabular,MLP,m,62601,3,kaiming_normal,mean_logits,1,0.5512,0.751667,0.718333,0.280556,0.214444
tabular,MLP,m,62601,3,kaiming_normal,mean_probs,1,0.6814,0.758333,0.718333,0.280556,0.214444
tabular,MLP,m,62601,3,kaiming_normal,argmax,1,0.5749,0.748333,0.718333,0.280556,0.214444
tabular,MLP,m,104335,5,kaiming_normal,mean_logits,1,1.0282,0.751667,0.718333,0.270333,0.194667
tabular,MLP,m,104335,5,kaiming_normal,mean_probs,1,0.9933,0.750000,0.718333,0.270333,0.194667
tabular,MLP,m,104335,5,kaiming_normal,argmax,1,0.9821,0.758333,0.718333,0.270333,0.194667
tabular,MLP,m,187803,9,kaiming_normal,mean_logits,1,2.2301,0.751667,0.718333,0.273519,0.194444
tabular,MLP,m,187803,9,kaiming_normal,mean_probs,1,2.0021,0.750000,0.718333,0.273519,0.194444
tabular,MLP,m,187803,9,kaiming_normal,argmax,1,1.9523,0.745000,0.718333,0.273519,0.194444
tabular,MLP,m,313005,15,kaiming_normal,mean_logits,1,3.4249,0.755000,0.718333,0.274222,0.195952
tabular,MLP,m,313005,15,kaiming_normal,mean_probs,1,3.2365,0.755000,0.718333,0.274222,0.195952
tabular,MLP,m,313005,15,kaiming_normal,argmax,1,3.1158,0.751667,0.718333,0.274222,0.195952
tabular,MLP,m,20867,1,kaiming_normal,mean_logits,2,0.2008,0.795000,0.753333,0.205,1.0
tabular,MLP,m,20867,1,kaiming_normal,mean_probs,2,0.2234,0.795000,0.753333,0.205,1.0
tabular,MLP,m,20867,1,kaiming_normal,argmax,2,0.1863,0.795000,0.753333,0.205,1.0
tabular,MLP,m,62601,3,kaiming_normal,mean_logits,2,0.5654,0.810000,0.753333,0.207222,0.152222
tabular,MLP,m,62601,3,kaiming_normal,mean_probs,2,0.6077,0.811667,0.753333,0.207222,0.152222
tabular,MLP,m,62601,3,kaiming_normal,argmax,2,0.7088,0.815000,0.753333,0.207222,0.152222
tabular,MLP,m,104335,5,kaiming_normal,mean_logits,2,1.0485,0.818333,0.753333,0.202,0.148167
tabular,MLP,m,104335,5,kaiming_normal,mean_probs,2,1.0881,0.820000,0.753333,0.202,0.148167
tabular,MLP,m,104335,5,kaiming_normal,argmax,2,1.1168,0.825000,0.753333,0.202,0.148167
tabular,MLP,m,187803,9,kaiming_normal,mean_logits,2,1.6981,0.816667,0.753333,0.214444,0.159167
tabular,MLP,m,187803,9,kaiming_normal,mean_probs,2,1.6229,0.811667,0.753333,0.214444,0.159167
tabular,MLP,m,187803,9,kaiming_normal,argmax,2,1.7466,0.818333,0.753333,0.214444,0.159167
tabular,MLP,m,313005,15,kaiming_normal,mean_logits,2,2.8789,0.813333,0.753333,0.219667,0.168968
tabular,MLP,m,313005,15,kaiming_normal,mean_probs,2,2.9492,0.813333,0.753333,0.219667,0.168968
tabular,MLP,m,313005,15,kaiming_normal,argmax,2,2.9845,0.808333,0.753333,0.219667,0.168968
